Name,Alignment,Gender,EyeColor,Race,HairColor,Publisher,SkinColor,Height,Weight
Atom IV,good,Male,brown,-,Black,DC Comics,-,-99,72
Aurora,good,Female,blue,Mutant,Black,Marvel Comics,-,180,63
Azazel,bad,Male,yellow,Neyaphem,Black,Marvel Comics,red,183,67
Bane,bad,Male,-,Human,-,DC Comics,-,203,180
Banshee,good,Male,green,Human,Strawberry Blond,Marvel Comics,-,183,77
Bantam,good,Male,brown,-,Black,Marvel Comics,-,165,54
Batgirl,good,Female,green,Human,Red,DC Comics,-,170,57
Batgirl IV,good,Female,green,Human,Black,DC Comics,-,165,52
Batgirl VI,good,Female,blue,-,Blond,DC Comics,-,168,61
Batman,good,Male,blue,Human,black,DC Comics,-,188,95
Batman,good,Male,blue,Human,Black,DC Comics,-,178,77
Batman II,good,Male,blue,Human,Black,DC Comics,-,178,79
Battlestar,good,Male,brown,-,Black,Marvel Comics,-,198,133
Batwoman V,good,Female,green,Human,Red,DC Comics,-,178,-99
Beak,good,Male,black,-,White,Marvel Comics,-,175,63
Beast,good,Male,blue,Mutant,Blue,Marvel Comics,blue,180,181
Beast Boy,good,Male,green,Human,Green,DC Comics,green,173,68
Beta Ray Bill,good,Male,-,-,No Hair,Marvel Comics,-,201,216
Big Barda,bad,Female,blue,New God,Black,DC Comics,-,188,135
Big Man,bad,Male,blue,-,Brown,Marvel Comics,-,165,71
Binary,good,Female,blue,-,Blond,Marvel Comics,-,180,54
Bishop,good,Male,brown,Mutant,No Hair,Marvel Comics,-,198,124
Bizarro,neutral,Male,black,Bizarro,Black,DC Comics,white,191,155
Black Adam,bad,Male,brown,-,Black,DC Comics,-,191,113
Black Bolt,good,Male,blue,Inhuman,Black,Marvel Comics,-,188,95
Black Canary,good,Female,blue,Human,Blond,DC Comics,-,165,58
Black Canary,good,Female,blue,Metahuman,Blond,DC Comics,-,170,59
Black Cat,good,Female,green,Human,Blond,Marvel Comics,-,178,54
Black Knight III,good,Male,brown,Human,Brown,Marvel Comics,-,183,86
Black Lightning,good,Male,brown,-,No Hair,DC Comics,-,185,90
Black Mamba,bad,Female,green,-,Black,Marvel Comics,-,170,52
Black Manta,bad,Male,black,Human,No Hair,DC Comics,-,188,92
Black Panther,good,Male,brown,Human,Black,Marvel Comics,-,183,90
Black Widow,good,Female,green,Human,Auburn,Marvel Comics,-,170,59
Black Widow II,good,Female,blue,-,Blond,Marvel Comics,-,170,61
Blackout,bad,Male,red,Demon,White,Marvel Comics,white,191,104
Blackwing,bad,Male,blue,-,Black,Marvel Comics,-,185,86
Blackwulf,-,Male,red,Alien,White,Marvel Comics,-,188,88
Blade,good,Male,brown,Vampire,Black,Marvel Comics,-,188,97
Blink,good,Female,green,Mutant,Magenta,Marvel Comics,pink,165,56
Blizzard II,bad,Male,brown,-,Brown,Marvel Comics,-,175,77
Blob,bad,Male,brown,-,Brown,Marvel Comics,-,178,230
Bloodaxe,bad,Female,blue,Human,Brown,Marvel Comics,-,218,495
Bloodwraith,bad,Male,white,-,No Hair,Marvel Comics,-,30.5,-99
Blue Beetle II,good,Male,blue,-,Brown,DC Comics,-,183,86
Boba Fett,bad,Male,brown,Human / Clone,Black,George Lucas,-,183,-99
Boom-Boom,good,Female,blue,Mutant,Blond,Marvel Comics,-,165,55
Booster Gold,good,Male,blue,Human,Blond,DC Comics,-,196,97
Box III,good,-,blue,-,Blond,Marvel Comics,-,193,110
Brainiac,bad,Male,green,Android,No Hair,DC Comics,green,198,135
Brainiac 5,good,Male,green,-,Blond,DC Comics,-,170,61
Brother Voodoo,good,Male,brown,Human,Brown / White,Marvel Comics,-,183,99
Buffy,good,Female,green,Human,Blond,Dark Horse Comics,-,157,52
Bullseye,bad,Male,blue,Human,blond,Marvel Comics,-,183,90
Bumblebee,good,Female,brown,Human,Black,DC Comics,-,170,59
Cable,good,Male,blue,Mutant,White,Marvel Comics,-,203,158
Callisto,bad,Female,blue,-,Black,Marvel Comics,-,175,74
Cannonball,good,Male,blue,-,Blond,Marvel Comics,-,183,81
Captain America,good,Male,blue,Human,blond,Marvel Comics,-,188,108
Captain Atom,good,Male,blue,Human / Radiation,Silver,DC Comics,silver,193,90
Captain Britain,good,Male,blue,Human,Blond,Marvel Comics,-,198,116
Captain Epic,good,Male,blue,-,Brown,Team Epic TV,-,188,-99
Captain Mar-vell,good,Male,blue,-,Blond,Marvel Comics,-,188,108
Captain Marvel,good,Female,blue,Human-Kree,Blond,Marvel Comics,-,180,74
Captain Marvel,good,Male,blue,Human,Black,DC Comics,-,193,101
Captain Marvel II,good,Male,blue,Human,Black,DC Comics,-,175,74
Carnage,bad,Male,green,Symbiote,Red,Marvel Comics,-,185,86
Cat,good,Female,blue,-,Blond,Marvel Comics,-,173,61
Catwoman,good,Female,green,Human,Black,DC Comics,-,175,61
Cecilia Reyes,good,-,brown,-,Brown,Marvel Comics,-,170,62
Century,good,Male,white,Alien,White,Marvel Comics,grey,201,97
Chamber,good,Male,brown,Mutant,Brown,Marvel Comics,-,175,63
Changeling,bad,Male,brown,-,Black,Marvel Comics,-,180,81
Cheetah,bad,Female,green,Human,Blond,DC Comics,-,163,50
Cheetah II,bad,Female,green,Human,Brown,DC Comics,-,170,55
Cheetah III,bad,Female,brown,Human,Brown,DC Comics,-,175,54
Chromos,bad,Male,brown,-,Red / Grey,Team Epic TV,-,185,86
Citizen Steel,good,Male,green,Human,Red,DC Comics,-,183,170
Cloak,good,Male,brown,-,black,Marvel Comics,-,226,70
Clock King,bad,Male,blue,Human,Black,DC Comics,-,178,78
Colossus,good,Male,silver,Mutant,Black,Marvel Comics,-,226,225
Copycat,neutral,Female,red,Mutant,White,Marvel Comics,blue,183,67
Corsair,good,Male,brown,-,Brown,Marvel Comics,-,191,79
Cottonmouth,bad,Male,brown,Human,Black,Marvel Comics,-,183,99
Crimson Dynamo,good,Male,brown,-,No Hair,Marvel Comics,-,180,104
Crystal,good,Female,green,Inhuman,Red,Marvel Comics,-,168,50
Cyborg,good,Male,brown,Cyborg,Black,DC Comics,-,198,173
Cyclops,good,Male,brown,Mutant,Brown,Marvel Comics,-,191,88
Cypher,good,-,blue,-,Blond,Marvel Comics,-,175,68
Dagger,good,Female,blue,-,Blond,Marvel Comics,-,165,52
Daredevil,good,Male,blue,Human,Red,Marvel Comics,-,183,90
Darkhawk,good,Male,brown,Human,Brown,Marvel Comics,-,185,81
Darkseid,bad,Male,red,New God,No Hair,DC Comics,grey,267,817
Darkstar,good,Female,brown,Mutant,Blond,Marvel Comics,-,168,56
Darth Maul,bad,Male,yellow / red,Dathomirian Zabrak,-,George Lucas,red / black,170,-99
Darth Vader,bad,Male,yellow,Cyborg,No Hair,George Lucas,-,198,135
Dash,good,Male,blue,Human,Blond,Dark Horse Comics,-,122,27
Dazzler,good,Female,blue,Mutant,Blond,Marvel Comics,-,173,52
Deadman,good,Male,blue,Human,Black,DC Comics,-,183,90
Deadpool,neutral,Male,brown,Mutant,No Hair,Marvel Comics,-,188,95
Deadshot,bad,Male,brown,Human,Brown,DC Comics,-,185,91
Deathlok,good,Male,brown,Cyborg,Grey,Marvel Comics,-,193,178
Deathstroke,neutral,Male,blue,Human,White,DC Comics,-,193,101
Demogoblin,bad,Male,red,Demon,No Hair,Marvel Comics,-,185,95
Diamondback,bad,Male,brown,Human,Black,Marvel Comics,-,193,90
Doc Samson,good,Male,blue,Human / Radiation,Green,Marvel Comics,-,198,171
Doctor Doom,bad,Male,brown,Human,Brown,Marvel Comics,-,201,187
Doctor Doom II,bad,Male,brown,-,Brown,Marvel Comics,-,201,132
Doctor Fate,good,Male,blue,Human,Blond,DC Comics,-,188,89
Doctor Octopus,bad,Male,brown,Human,Brown,Marvel Comics,-,175,110
Doctor Strange,good,Male,grey,Human,Black,Marvel Comics,-,188,81
Domino,good,Female,blue,Human,Black,Marvel Comics,white,173,54
Donna Troy,good,Female,blue,Amazon,Black,DC Comics,-,175,63
Doomsday,bad,Male,red,Alien,White,DC Comics,-,244,412
Doppelganger,bad,Male,white,-,No Hair,Marvel Comics,-,196,104
Dormammu,bad,Male,yellow,-,No Hair,Marvel Comics,-,185,-99
Drax the Destroyer,good,Male,red,Human / Altered,No Hair,Marvel Comics,green,193,306
Elastigirl,good,Female,brown,Human,Brown,Dark Horse Comics,-,168,56
Electro,bad,Male,blue,Human,Auburn,Marvel Comics,-,180,74
Elektra,good,Female,blue,Human,Black,Marvel Comics,-,175,59
Elongated Man,good,Male,blue,-,Red,DC Comics,-,185,80
Emma Frost,good,Female,blue,-,Blond,Marvel Comics,-,178,65
Enchantress,good,Female,blue,Human,Blond,DC Comics,-,168,57
Etrigan,neutral,Male,red,Demon,No Hair,DC Comics,yellow,193,203
Evil Deadpool,bad,Male,white,Mutant,Red,Marvel Comics,-,188,95
Evilhawk,bad,Male,red,Alien,Black,Marvel Comics,green,191,106
Exodus,bad,Male,blue,Mutant,Black,Marvel Comics,red,183,88
Fabian Cortez,bad,-,blue,-,Brown,Marvel Comics,-,196,96
Falcon,good,Male,brown,Human,Black,Marvel Comics,-,188,108
Feral,good,-,yellow (without irises),-,Orange / White,Marvel Comics,-,175,50
Fin Fang Foom,good,Male,red,Kakarantharaian,No Hair,Marvel Comics,green,975,18
Firebird,good,Female,brown,-,Black,Marvel Comics,-,165,56
Firelord,good,-,white,-,Yellow,Marvel Comics,-,193,99
Firestar,good,Female,green,Mutant,Red,Marvel Comics,-,173,56
Firestorm,good,Male,blue,Human,Auburn,DC Comics,-,188,91
Flash,good,Male,blue,Human,Brown / White,DC Comics,-,180,81
Flash II,good,Male,blue,Human,Blond,DC Comics,-,183,88
Flash III,good,Male,-,Human,-,DC Comics,-,183,86
Flash IV,good,Male,yellow,Human,Auburn,DC Comics,-,157,52
Forge,good,-,brown,-,Black,Marvel Comics,-,183,81
Franklin Richards,good,Male,blue,Mutant,Blond,Marvel Comics,-,142,45
Franklin Storm,good,-,blue,-,Grey,Marvel Comics,-,188,92
Frenzy,bad,Female,brown,-,Black,Marvel Comics,-,211,104
Frigga,good,Female,blue,-,White,Marvel Comics,-,180,167
Galactus,neutral,Male,black,Cosmic Entity,Black,Marvel Comics,-,876,16
Gambit,good,Male,red,Mutant,Brown,Marvel Comics,-,185,81
Gamora,good,Female,yellow,Zen-Whoberian,Black,Marvel Comics,green,183,77
Genesis,good,Male,blue,-,Blond,Marvel Comics,-,185,86
Ghost Rider,good,Male,red,Demon,No Hair,Marvel Comics,-,188,99
Giganta,bad,Female,green,-,Red,DC Comics,-,62.5,630
Gladiator,neutral,Male,blue,Strontian,Blue,Marvel Comics,purple,198,268
Goblin Queen,bad,Female,green,-,Red,Marvel Comics,-,168,50
Goku,good,Male,-,Saiyan,-,Shueisha,-,175,62
Goliath IV,good,Male,brown,-,Black,Marvel Comics,-,183,90
Gorilla Grodd,bad,Male,yellow,Gorilla,Black,DC Comics,-,198,270
Granny Goodness,bad,Female,blue,-,White,DC Comics,-,178,115
Gravity,good,Male,blue,Human,Brown,Marvel Comics,-,178,79
Greedo,bad,Male,purple,Rodian,-,George Lucas,green,170,-99
Green Arrow,good,Male,green,Human,Blond,DC Comics,-,188,88
Green Goblin,bad,Male,blue,Human,Auburn,Marvel Comics,-,180,83
Green Goblin II,bad,Male,blue,-,Auburn,Marvel Comics,-,178,77
Green Goblin IV,good,Male,green,-,Brown,Marvel Comics,-,178,79
Groot,good,Male,yellow,Flora Colossus,-,Marvel Comics,-,701,4
Guy Gardner,good,Male,blue,Human-Vuldarian,Red,DC Comics,-,188,95
Hal Jordan,good,Male,brown,Human,Brown,DC Comics,-,188,90
Han Solo,good,Male,brown,Human,Brown,George Lucas,-,183,79
Hancock,good,Male,brown,Human,Black,Sony Pictures,-,188,-99
Harley Quinn,bad,Female,blue,Human,Blond,DC Comics,-,170,63
Havok,good,Male,blue,Mutant,Blond,Marvel Comics,-,183,79
Hawk,good,Male,red,-,Brown,DC Comics,-,185,89
Hawkeye,good,Male,blue,Human,Blond,Marvel Comics,-,191,104
Hawkeye II,good,Female,blue,Human,Black,Marvel Comics,-,165,57
Hawkgirl,good,Female,green,-,Red,DC Comics,-,175,61
Hawkman,good,Male,blue,-,Brown,DC Comics,-,185,88
Hawkwoman,good,Female,green,-,Red,DC Comics,-,175,54
Hawkwoman III,good,Female,blue,-,Red,DC Comics,-,170,65
Heat Wave,bad,Male,blue,Human,No Hair,DC Comics,-,180,81
Hela,bad,Female,green,Asgardian,Black,Marvel Comics,-,213,225
Hellboy,good,Male,gold,Demon,Black,Dark Horse Comics,-,259,158
Hellcat,good,Female,blue,Human,Red,Marvel Comics,-,173,61
Hellstorm,good,Male,red,-,Red,Marvel Comics,-,185,81
Hercules,good,Male,blue,Demi-God,Brown,Marvel Comics,-,196,146
Hobgoblin,bad,Male,blue,-,Grey,Marvel Comics,-,180,83
Hollow,good,Female,blue,-,Red,Marvel Comics,-,170,-99
Hope Summers,good,Female,green,-,Red,Marvel Comics,-,168,48
Howard the Duck,good,Male,brown,-,Yellow,Marvel Comics,-,79,18
Hulk,good,Male,green,Human / Radiation,Green,Marvel Comics,green,244,630
Human Torch,good,Male,blue,Human / Radiation,Blond,Marvel Comics,-,178,77
Huntress,good,Female,blue,-,Black,DC Comics,-,180,59
Husk,good,Female,blue,Mutant,Blond,Marvel Comics,-,170,58
Hybrid,good,Male,brown,Symbiote,Black,Marvel Comics,-,175,77
Hydro-Man,bad,Male,brown,-,Brown,Marvel Comics,-,188,119
Hyperion,good,Male,blue,Eternal,Red,Marvel Comics,-,183,207
Iceman,good,Male,brown,Mutant,Brown,Marvel Comics,-,173,65
Impulse,good,Male,yellow,Human,Auburn,DC Comics,-,170,65
Indiana Jones,good,Male,-,Human,-,George Lucas,-,183,79
Ink,good,Male,blue,Mutant,No Hair,Marvel Comics,-,180,81
Invisible Woman,good,Female,blue,Human / Radiation,Blond,Marvel Comics,-,168,54
Iron Fist,good,Male,blue,Human,Blond,Marvel Comics,-,180,79
Iron Man,good,Male,blue,Human,Black,Marvel Comics,-,198,191
Iron Monger,bad,Male,blue,-,No Hair,Marvel Comics,-,-99,2
Jack of Hearts,good,Male,blue / white,Human,Brown,Marvel Comics,-,155,79
Jack-Jack,good,Male,blue,Human,Brown,Dark Horse Comics,-,71,14
James Bond,good,Male,blue,Human,Blond,Titan Books,-,183,-99
James T. Kirk,good,Male,hazel,Human,Brown,Star Trek,-,178,77
Jar Jar Binks,good,Male,yellow,Gungan,-,George Lucas,orange / white,193,-99
Jean Grey,good,Female,green,Mutant,Red,Marvel Comics,-,168,52
Jennifer Kale,good,Female,blue,-,Blond,Marvel Comics,-,168,55
Jessica Jones,good,Female,brown,Human,Brown,Marvel Comics,-,170,56
Jigsaw,bad,Male,blue,-,Black,Marvel Comics,-,188,113
John Constantine,good,Male,blue,Human,Blond,DC Comics,-,183,-99
John Stewart,good,Male,green,Human,Black,DC Comics,-,185,90
John Wraith,good,Male,brown,-,Black,Marvel Comics,-,183,88
Joker,bad,Male,green,Human,Green,DC Comics,white,196,86
Jolt,good,Female,blue,-,Black,Marvel Comics,-,165,49
Jubilee,good,Female,red,Mutant,Black,Marvel Comics,-,165,52
Judge Dredd,good,Male,-,Human,-,Rebellion,-,188,-99
Juggernaut,neutral,Male,blue,Human,Red,Marvel Comics,-,287,855
Justice,good,Male,hazel,Human,Brown,Marvel Comics,-,178,81
K-2SO,good,Male,white,Android,No Hair,George Lucas,gray,213,-99
Kang,bad,Male,brown,-,Brown,Marvel Comics,-,191,104
Karate Kid,good,Male,brown,Human,Brown,DC Comics,-,173,72
Killer Croc,bad,Male,red,Metahuman,No Hair,DC Comics,green,244,356
Kilowog,good,Male,red,Bolovaxian,No Hair,DC Comics,pink,234,324
Kingpin,bad,Male,blue,Human,No Hair,Marvel Comics,-,201,203
Klaw,bad,Male,red,Human,No Hair,Marvel Comics,red,188,97
Kraven II,bad,Male,brown,Human,Black,Marvel Comics,-,191,99
Kraven the Hunter,bad,Male,brown,Human,Black,Marvel Comics,-,183,106
Krypto,good,Male,blue,Kryptonian,White,DC Comics,-,64,18
Kyle Rayner,good,Male,green,Human,Black,DC Comics,-,180,79
Lady Deathstrike,bad,Female,brown,Cyborg,Black,Marvel Comics,-,175,58
Leader,bad,Male,green,-,No Hair,Marvel Comics,-,178,63
Legion,good,Male,green / blue,Mutant,Black,Marvel Comics,-,175,59
Lex Luthor,bad,Male,green,Human,No Hair,DC Comics,-,188,95
Light Lass,good,Female,blue,-,Red,DC Comics,-,165,54
Lightning Lad,good,Male,blue,-,Red,DC Comics,-,155,65
Lightning Lord,bad,Male,blue,-,Red,DC Comics,-,191,95
Living Brain,bad,-,yellow,-,-,Marvel Comics,-,198,360
Lizard,bad,Male,red,Human,No Hair,Marvel Comics,-,203,230
Lobo,neutral,Male,red,Czarnian,Black,DC Comics,blue-white,229,288
Loki,bad,Male,green,Asgardian,Black,Marvel Comics,-,193,236
Longshot,good,Male,blue,Human,Blond,Marvel Comics,-,188,36
Luke Cage,good,Male,brown,Human,Black,Marvel Comics,-,198,191
Luke Skywalker,good,Male,blue,Human,Blond,George Lucas,-,168,77
Mach-IV,bad,Male,brown,-,Brown,Marvel Comics,-,180,79
Machine Man,good,-,red,-,Black,Marvel Comics,-,183,383
Magneto,bad,Male,grey,Mutant,White,Marvel Comics,-,188,86
Magus,bad,Male,black,-,-,Marvel Comics,-,183,-99
Man-Thing,good,Male,red,-,No Hair,Marvel Comics,green,213,225
Man-Wolf,good,Male,brown,-,Auburn,Marvel Comics,-,188,90
Mandarin,bad,Male,blue,Human,White,Marvel Comics,-,188,97
Mantis,good,Female,green,Human-Kree,Black,Marvel Comics,green,168,52
Martian Manhunter,good,Male,red,Martian,No Hair,DC Comics,green,201,135
Marvel Girl,good,Female,green,-,Red,Marvel Comics,-,170,56
Master Brood,good,Male,blue,-,Black,Team Epic TV,-,183,81
Master Chief,good,Male,brown,Human / Altered,Brown,Microsoft,-,213,-99
Maverick,good,Male,blue,-,Black,Marvel Comics,-,193,110
Maxima,bad,Female,brown,-,Red,DC Comics,-,180,72
Medusa,good,Female,green,Inhuman,Red,Marvel Comics,-,180,59
Meltdown,good,Female,blue,-,Blond,Marvel Comics,-,165,54
Mephisto,bad,Male,white,-,Black,Marvel Comics,-,198,140
Mera,good,Female,blue,Atlantean,Red,DC Comics,-,175,72
Metallo,bad,Male,green,Android,Brown,DC Comics,-,196,90
Metamorpho,good,Male,black,-,No Hair,DC Comics,-,185,90
Metron,good,Male,blue,-,Black,DC Comics,-,185,86
Micro Lad,good,Male,grey,-,Brown,DC Comics,-,183,77
Mimic,good,Male,brown,-,Brown,Marvel Comics,-,188,101
Miss Martian,good,Female,red,-,Red,DC Comics,-,178,61
Mister Fantastic,good,Male,brown,Human / Radiation,Brown,Marvel Comics,-,185,81
Mister Freeze,bad,Male,-,Human,-,DC Comics,-,183,86
Mister Sinister,bad,Male,red,Human / Altered,Black,Marvel Comics,-,196,128
Mockingbird,good,Female,blue,Human,Blond,Marvel Comics,-,175,61
MODOK,bad,Male,white,Cyborg,Brownn,Marvel Comics,-,366,338
Molten Man,bad,Male,gold,-,Gold,Marvel Comics,-,196,248
Monarch,good,Male,blue,-,White,DC Comics,-,193,90
Moon Knight,good,Male,brown,Human,Brown,Marvel Comics,-,188,101
Moonstone,bad,Female,blue,-,Blond,Marvel Comics,-,180,59
Morlun,bad,Male,white / red,-,Black,Marvel Comics,-,188,79
Morph,good,Male,white,-,No Hair,Marvel Comics,-,178,79
Moses Magnum,bad,Male,brown,-,Black,Marvel Comics,-,175,72
Mr Immortal,good,Male,blue,Mutant,Blond,Marvel Comics,-,188,70
Mr Incredible,good,Male,blue,Human,Blond,Dark Horse Comics,-,201,158
Ms Marvel II,good,Female,blue,-,Red,Marvel Comics,-,173,61
Multiple Man,good,Male,blue,-,Brown,Marvel Comics,-,180,70
Mysterio,bad,Male,brown,Human,No Hair,Marvel Comics,-,180,79
Mystique,bad,Female,yellow (without irises),Mutant,Red / Orange,Marvel Comics,blue,178,54
Namor,good,Male,grey,Atlantean,Black,Marvel Comics,-,188,125
Namora,good,Female,blue,-,Blond,Marvel Comics,-,180,85
Namorita,good,Female,blue,-,Blond,Marvel Comics,-,168,101
Naruto Uzumaki,good,Male,-,Human,-,Shueisha,-,168,54
Nebula,bad,Female,blue,Luphomoid,No Hair,Marvel Comics,blue,185,83
Nick Fury,good,Male,brown,Human,Brown / White,Marvel Comics,-,185,99
Nightcrawler,good,Male,yellow,-,Indigo,Marvel Comics,-,175,88
Nightwing,good,Male,blue,Human,Black,DC Comics,-,178,79
Northstar,good,Male,blue,-,Black,Marvel Comics,-,180,83
Nova,good,Male,brown,Human,Brown,Marvel Comics,-,185,86
Nova,good,Female,white,Human / Cosmic,Red,Marvel Comics,gold,163,59
Odin,good,Male,blue,God / Eternal,White,Marvel Comics,-,206,293
Omega Red,bad,Male,red,-,Blond,Marvel Comics,-,211,191
Omniscient,good,Male,brown,-,Black,Team Epic TV,-,180,65
One Punch Man,good,Male,-,Human,No Hair,Shueisha,-,175,69
Onslaught,bad,Male,red,Mutant,No Hair,Marvel Comics,-,305,405
Oracle,good,Female,blue,Human,Red,DC Comics,-,178,59
Paul Blart,good,Male,-,Human,-,Sony Pictures,-,170,117
Penance II,good,Male,blue,-,Blond,Marvel Comics,-,183,89
Penguin,bad,Male,blue,Human,Black,DC Comics,-,157,79
Phantom Girl,good,Female,blue,-,Black,DC Comics,-,168,54
Phoenix,good,Female,green,Mutant,Red,Marvel Comics,-,168,52
Plantman,bad,Male,green,Mutant,Grey,Marvel Comics,-,183,87
Plastic Man,good,Male,blue,Human,Black,DC Comics,-,185,80
Plastique,bad,Female,blue,-,Red,DC Comics,-,168,55
Poison Ivy,bad,Female,green,Human,Red,DC Comics,green,168,50
Polaris,good,Female,green,Mutant,Green,Marvel Comics,-,170,52
Power Girl,good,Female,blue,Kryptonian,blond,DC Comics,-,180,81
Predator,bad,Male,-,Yautja,-,Dark Horse Comics,-,213,234
Professor X,good,Male,blue,Mutant,No Hair,Marvel Comics,-,183,86
Professor Zoom,bad,Male,blue,Human,Strawberry Blond,DC Comics,-,180,81
Psylocke,good,Female,blue,Mutant,Purple,Marvel Comics,-,180,70
Punisher,good,Male,blue,Human,Black,Marvel Comics,-,183,90
Purple Man,bad,Male,purple,Human,Purple,Marvel Comics,purple,180,74
Pyro,bad,Male,blue,-,Blond,Marvel Comics,-,178,68
Question,good,Male,blue,Human,Blond,DC Comics,-,188,83
Quicksilver,good,Male,blue,Mutant,Silver,Marvel Comics,-,183,79
Quill,good,Male,brown,-,Brown,Marvel Comics,-,163,56
Ra's Al Ghul,bad,Male,green,Human,Grey,DC Comics,-,193,97
Raven,neutral,Female,indigo,Human,Black,DC Comics,-,165,50
Ray,good,Male,green,Human,Red,DC Comics,-,178,70
Razor-Fist II,bad,Male,blue,-,No Hair,Marvel Comics,-,191,117
Red Arrow,good,Male,green,Human,Red,DC Comics,-,180,83
Red Hood,neutral,Male,blue,Human,Black,DC Comics,-,183,81
Red Hulk,neutral,Male,yellow,Human / Radiation,Black,Marvel Comics,red,213,630
Red Robin,good,Male,blue,Human,Black,DC Comics,-,165,56
Red Skull,bad,Male,blue,-,No Hair,Marvel Comics,-,188,108
Red Tornado,good,Male,green,Android,No Hair,DC Comics,-,185,146
Rey,good,Female,hazel,Human,Brown,George Lucas,-,297,-99
Rhino,bad,Male,brown,Human / Radiation,Brown,Marvel Comics,-,196,320
Rick Flag,bad,Male,blue,-,Brown,DC Comics,-,185,85
Ripcord,good,Female,green,-,Black,Marvel Comics,-,180,72
Robin,good,Male,blue,Human,Black,DC Comics,-,178,79
Robin II,good,Male,blue,Human,Red,DC Comics,-,183,101
Robin III,good,Male,blue,Human,Black,DC Comics,-,165,56
Robin V,good,Male,blue,Human,Black,DC Comics,-,137,38
Rocket Raccoon,good,Male,brown,Animal,Brown,Marvel Comics,-,122,25
Rogue,good,Female,green,-,Brown / White,Marvel Comics,-,173,54
Ronin,good,Male,blue,Human,Blond,Marvel Comics,-,191,104
Rorschach,good,Male,blue,Human,Red,DC Comics,-,168,63
Sabretooth,bad,Male,amber,Mutant,Blond,Marvel Comics,-,198,171
Sage,good,Female,blue,-,Black,Marvel Comics,-,170,61
Sandman,neutral,Male,brown,Human,Brown,Marvel Comics,-,185,203
Sasquatch,good,Male,red,-,Orange,Marvel Comics,-,305,900
Sauron,bad,Male,-,Maiar,-,J. R. R. Tolkien,-,279,-99
Scarecrow,bad,Male,blue,Human,Brown,DC Comics,-,183,63
Scarlet Spider,good,Male,blue,Human,Blond,Marvel Comics,-,178,74
Scarlet Spider II,good,Male,brown,Clone,Brown,Marvel Comics,-,193,113
Scarlet Witch,bad,Female,blue,Mutant,Brown,Marvel Comics,-,170,59
Scorpion,bad,Male,brown,Human,Brown,Marvel Comics,-,211,310
Sentry,neutral,Male,blue,Mutant,Blond,Marvel Comics,-,188,87
