Name,Alignment,Gender,EyeColor,Race,HairColor,Publisher,SkinColor,Height,Weight
Bishop,good,Male,brown,Mutant,No Hair,Marvel Comics,-,198.0,124.0
Match,bad,Male,black,-,Black,DC Comics,-,-99.0,-99.0
Genesis,good,Male,blue,-,Blond,Marvel Comics,-,185.0,86.0
Rachel Pirzad,good,Female,-,Alpha,-,SyFy,-,-99.0,-99.0
Batgirl,good,Female,-,-,-,DC Comics,-,-99.0,-99.0
Cypher,good,-,blue,-,Blond,Marvel Comics,-,175.0,68.0
Moon Knight,good,Male,brown,Human,Brown,Marvel Comics,-,188.0,101.0
Red Hulk,neutral,Male,yellow,Human / Radiation,Black,Marvel Comics,red,213.0,630.0
Chromos,bad,Male,brown,-,Red / Grey,Team Epic TV,-,185.0,86.0
Siren II,bad,Female,black,-,-,DC Comics,-,-99.0,-99.0
Howard the Duck,good,Male,brown,-,Yellow,Marvel Comics,-,79.0,18.0
Blizzard,bad,Male,-,-,-,Marvel Comics,-,-99.0,-99.0
Karate Kid,good,Male,brown,Human,Brown,DC Comics,-,173.0,72.0
Archangel,good,Male,blue,Mutant,Blond,Marvel Comics,blue,183.0,68.0
Steppenwolf,bad,Male,red,New God,Black,DC Comics,white,183.0,91.0
Black Adam,bad,Male,brown,-,Black,DC Comics,-,191.0,113.0
Batgirl III,good,Female,-,-,-,DC Comics,-,-99.0,-99.0
Mogo,good,Male,-,Planet,-,DC Comics,-,-99.0,-99.0
Big Man,bad,Male,blue,-,Brown,Marvel Comics,-,165.0,71.0
Arsenal,good,Male,-,Human,-,DC Comics,-,-99.0,-99.0
Alfred Pennyworth,good,Male,blue,Human,Black,DC Comics,-,178.0,72.0
Luke Cage,good,Male,brown,Human,Black,Marvel Comics,-,198.0,191.0
Cat II,good,Female,-,-,-,Marvel Comics,-,-99.0,-99.0
Jack-Jack,good,Male,blue,Human,Brown,Dark Horse Comics,-,71.0,14.0
A-Bomb,good,Male,yellow,Human,No Hair,Marvel Comics,-,203.0,441.0
Demogoblin,bad,Male,red,Demon,No Hair,Marvel Comics,-,185.0,95.0
Yoda,good,Male,brown,Yoda's species,White,George Lucas,green,66.0,17.0
Parademon,bad,-,-,Parademon,-,DC Comics,-,-99.0,-99.0
Toxin,good,Male,blue,Symbiote,Brown,Marvel Comics,-,188.0,97.0
Beast,good,Male,blue,Mutant,Blue,Marvel Comics,blue,180.0,181.0
Crimson Crusader,good,Male,blue,-,Strawberry Blond,Marvel Comics,-,-99.0,-99.0
Thanos,bad,Male,red,Eternal,No Hair,Marvel Comics,purple,201.0,443.0
Star-Lord,good,Male,blue,Human-Spartoi,Blond,Marvel Comics,-,188.0,79.0
Darkman,good,Male,-,-,-,Universal Studios,-,-99.0,-99.0
King Shark,bad,Male,black,Animal,No Hair,DC Comics,-,-99.0,-99.0
Poison Ivy,bad,Female,green,Human,Red,DC Comics,green,168.0,50.0
Northstar,good,Male,blue,-,Black,Marvel Comics,-,180.0,83.0
Hiro Nakamura,good,Male,-,-,-,NBC - Heroes,-,-99.0,-99.0
Black Bolt,good,Male,blue,Inhuman,Black,Marvel Comics,-,188.0,95.0
Stargirl,good,Female,blue,Human,Blond,DC Comics,-,165.0,62.0
Gambit,good,Male,red,Mutant,Brown,Marvel Comics,-,185.0,81.0
Alan Scott,good,Male,blue,-,Blond,DC Comics,-,180.0,90.0
Mockingbird,good,Female,blue,Human,Blond,Marvel Comics,-,175.0,61.0
Sauron,bad,Male,-,Maiar,-,J. R. R. Tolkien,-,279.0,-99.0
Hela,bad,Female,green,Asgardian,Black,Marvel Comics,-,213.0,225.0
Simon Baz,good,Male,bown,Human,Black,DC Comics,-,-99.0,-99.0
Cyclops,good,Male,brown,Mutant,Brown,Marvel Comics,-,191.0,88.0
Bloodhawk,good,Male,black,Mutant,No Hair,Marvel Comics,-,-99.0,-99.0
Azazel,bad,Male,yellow,Neyaphem,Black,Marvel Comics,red,183.0,67.0
Batman,good,Male,blue,Human,black,DC Comics,-,188.0,95.0
One-Above-All,neutral,-,-,Cosmic Entity,-,Marvel Comics,-,-99.0,-99.0
K-2SO,good,Male,white,Android,No Hair,George Lucas,gray,213.0,-99.0
Yellowjacket,good,Male,blue,Human,Blond,Marvel Comics,-,183.0,83.0
Blaquesmith,good,-,black,-,No Hair,Marvel Comics,-,-99.0,-99.0
Huntress,good,Female,blue,-,Black,DC Comics,-,180.0,59.0
